date,close,high,low,open,volume,tic,day
2022-05-31,2969.309814453125,2986.122800729855,2934.580185318574,2960.30732090412,4840965,TCS.NS,1
2022-06-01,683.1973266601562,689.5707391636876,677.6704162445599,680.1600210066633,6966674,AXISBANK.NS,2
2022-06-01,660.2368774414062,662.887564224445,652.8054784242131,653.2078050088518,12091896,HDFCBANK.NS,2
2022-06-01,2129.701171875,2226.8937604870093,2123.7506557885217,2186.4852537874876,2197599,HINDUNILVR.NS,2
2022-06-01,730.085205078125,732.9467152573952,721.8885284090638,725.574590691841,10102092,ICICIBANK.NS,2
2022-06-01,1312.9482421875,1345.0936959690998,1307.220595475762,1343.539700941573,8738508,INFY.NS,2
2022-06-01,224.53765869140625,226.39605082828868,223.17479939791943,223.5464882961431,15265925,ITC.NS,2
2022-06-01,1566.2601318359375,1578.615339186585,1557.183760029761,1571.5349013803761,1425466,LT.NS,2
2022-06-01,1192.7593994140625,1202.587698682473,1184.9238588339676,1193.121675611818,9776989,RELIANCE.NS,2
2022-06-01,435.0614013671875,438.4987973480269,431.7169416957556,434.78270584507754,9424008,SBIN.NS,2
2022-06-01,2961.23388671875,2990.182568612343,2947.8628790728053,2990.182568612343,1493835,TCS.NS,2
2022-06-02,688.6744995117188,690.2678831263274,679.1642208915783,679.1642208915783,6347433,AXISBANK.NS,3
2022-06-02,655.6218872070312,656.9945819675592,652.5451834730333,656.6395776905593,11475020,HDFCBANK.NS,3
2022-06-02,2107.882568359375,2128.317351291562,2082.373438220442,2117.2927131483425,1460335,HINDUNILVR.NS,3
2022-06-02,727.2720947265625,729.2121336588108,720.9184790645074,728.5331081914659,10949759,ICICIBANK.NS,3
2022-06-02,1339.099609375,1344.2943706627866,1310.3284820297667,1317.787679252321,7205840,INFY.NS,3
2022-06-02,225.90048217773438,226.68514125578938,221.2337828455851,223.58778625686693,14789457,ITC.NS,3
2022-06-02,1555.9483642578125,1567.6382220191126,1543.1654065885425,1551.053777968559,1852251,LT.NS,3
2022-06-02,1233.88427734375,1237.5755649319342,1192.98576447725,1192.98576447725,22126569,RELIANCE.NS,3
2022-06-02,436.50140380859375,438.82396099779396,433.0640078279661,433.7607749847262,9370989,SBIN.NS,3
2022-06-02,3021.07373046875,3029.0169567539438,2953.3798339996915,2961.058242980618,2657939,TCS.NS,3
2022-06-03,674.4837646484375,695.097705905343,670.3510568772786,694.4006043591922,8475726,AXISBANK.NS,4
2022-06-03,653.349853515625,663.0296130823147,651.4564974904033,661.8699556291225,6957244,HDFCBANK.NS,4
2022-06-03,2114.478759765625,2144.923490479133,2089.753903108621,2107.1443924137075,1845303,HINDUNILVR.NS,4
2022-06-03,721.9855346679688,734.304794716289,718.9784977640621,733.4803017861097,8563791,ICICIBANK.NS,4
2022-06-03,1351.26513671875,1380.835483354974,1347.9795908249841,1354.1067924628962,9395707,INFY.NS,4
2022-06-03,225.2397003173828,227.71760010090682,224.3311449165593,227.13942610246298,12968807,ITC.NS,4
2022-06-03,1570.109375,1590.6854554049908,1563.3614378528164,1575.7166457894518,2928263,LT.NS,4
2022-06-03,1258.8853759765625,1276.0283243723425,1241.9009234208313,1242.8068535360608,23939791,RELIANCE.NS,4
2022-06-03,431.5311279296875,441.7503796137059,430.6021050493222,439.66007813288394,11306291,SBIN.NS,4
2022-06-03,3036.209716796875,3068.9977170114703,3028.3106631264545,3053.1993941968394,1913622,TCS.NS,4
2022-06-06,669.4049682617188,681.1558910683195,667.5128442517592,674.1849974462752,6756864,AXISBANK.NS,0
2022-06-06,652.47412109375,656.5211926538722,644.0487215665758,651.4564884687982,6173266,HDFCBANK.NS,0
2022-06-06,2103.91552734375,2123.7045584032867,2073.5631417313366,2096.258170795974,2131405,HINDUNILVR.NS,0
2022-06-06,724.362060546875,728.4361542818696,717.4263974500811,718.0084446723899,9107831,ICICIBANK.NS,0
2022-06-06,1358.68017578125,1364.4964924732922,1325.7798357609638,1346.2037716099271,6624883,INFY.NS,0
2022-06-06,226.97421264648438,227.80017920581665,222.7618172241413,224.9919243166268,11345943,ITC.NS,0
2022-06-06,1558.846923828125,1579.8508686356665,1553.0495037204294,1570.2042799235178,1538005,LT.NS,0
2022-06-06,1253.4730224609375,1274.5110388345443,1246.3395117355965,1259.1119042533815,11093152,RELIANCE.NS,0
2022-06-06,430.78790283203125,432.55304056011636,424.09892703436145,431.25241425266034,10661432,SBIN.NS,0
2022-06-06,3028.09033203125,3047.551280348044,2980.6074453562023,3016.6609545987876,1084210,TCS.NS,0
2022-06-07,663.0813598632812,675.1808642655441,658.3511104454917,669.4049929222015,8312778,AXISBANK.NS,1
2022-06-07,644.9717407226562,650.5098419561832,640.9483590300321,644.6877488651877,10253966,HDFCBANK.NS,1
2022-06-07,2040.3509521484375,2084.8648466565323,2036.1532237848762,2075.77746410804,2034730,HINDUNILVR.NS,1
2022-06-07,713.2069091796875,720.6760719227308,710.3938286643537,718.7845218662338,9938912,ICICIBANK.NS,1
2022-06-07,1337.9451904296875,1349.622374002398,1334.304423990545,1349.622374002398,4904592,INFY.NS,1
2022-06-07,226.23089599609375,227.13945149850113,224.86806274248266,225.65272193300535,11245578,ITC.NS,1
2022-06-07,1510.6141357421875,1557.1363131349046,1507.4303170439155,1549.1529251640493,2157491,LT.NS,1
2022-06-07,1255.828125,1264.139152836091,1246.4527910651425,1254.5372764842177,12358255,RELIANCE.NS,1
2022-06-07,430.50921630859375,432.8782417701939,427.81505550557466,429.0692421203595,7672515,SBIN.NS,1
2022-06-07,2967.853515625,3017.4105418438976,2961.9402691478545,3001.7005652596245,2308256,TCS.NS,1
2022-06-08,655.861572265625,670.7494235789666,652.7247061695846,667.2141963367413,9282494,AXISBANK.NS,2
2022-06-08,647.2438354492188,653.6812350419457,642.3210977204348,650.0365474302195,5986588,HDFCBANK.NS,2
2022-06-08,2026.927001953125,2047.1311404179544,2016.7325858748143,2043.4870437844068,1506843,HINDUNILVR.NS,2
2022-06-08,707.6292114257812,718.7844354578532,704.6706638496377,714.5163260591181,9369224,ICICIBANK.NS,2
2022-06-08,1331.9957275390625,1349.9332266440192,1324.891750325521,1349.9332266440192,4697608,INFY.NS,2
2022-06-08,221.2750701904297,226.6438131310182,219.87092976958075,226.27212428247915,14915091,ITC.NS,2
2022-06-08,1505.957275390625,1528.0540887280936,1492.2239174918993,1515.8889149790373,2122442,LT.NS,2
2022-06-08,1233.77099609375,1259.564603425916,1230.2608467946977,1255.8280315270272,12479250,RELIANCE.NS,2
2022-06-08,437.8484802246094,441.7968275387451,430.32341743653836,433.48208961754125,17168871,SBIN.NS,2
2022-06-08,3004.436767578125,3013.086100853081,2953.556080411676,2983.254832442945,2185707,TCS.NS,2
2022-06-09,658.55029296875,659.994276004249,647.2972906869284,654.2184046436244,5682743,AXISBANK.NS,3
2022-06-09,652.1190795898438,654.1781503456399,642.3919983690421,644.806015573734,7311816,HDFCBANK.NS,3
2022-06-09,2027.5267333984375,2037.352213305358,2002.6635820680556,2026.880981137173,1497867,HINDUNILVR.NS,3
2022-06-09,710.7817993164062,712.0913019789867,700.4996161438609,703.2641480783276,7444368,ICICIBANK.NS,3
2022-06-09,1345.3155517578125,1347.0471026731207,1315.5676501182832,1318.675639841816,4361061,INFY.NS,3
2022-06-09,223.711669921875,224.41374015658437,219.4992616021764,221.19248904538387,10239939,ITC.NS,3
2022-06-09,1515.9840087890625,1520.6409950395114,1479.0134013940242,1479.0134013940242,1361104,LT.NS,3
2022-06-09,1267.6041259765625,1269.528957983228,1227.4076388685442,1227.4076388685442,17278305,RELIANCE.NS,3
2022-06-09,433.8072204589844,437.47684361514746,429.62661773699557,435.66526611320165,12635601,SBIN.NS,3
2022-06-09,3024.6923828125,3033.429845494202,2959.381411451845,2987.5356494029306,1279197,TCS.NS,3
2022-06-10,657.9528198242188,660.9403458163541,649.4881628465018,652.7744292815764,6758832,AXISBANK.NS,4
2022-06-10,639.5283203125,647.5040710182226,635.9782777627149,643.7883713722422,9155430,HDFCBANK.NS,4
2022-06-10,2029.5565185546875,2037.8136793552626,1995.3293932841964,1995.5138617701666,1641981,HINDUNILVR.NS,4
2022-06-10,698.4141235351562,706.4652745070712,696.4740843031142,703.0217167112562,7990818,ICICIBANK.NS,4
2022-06-10,1311.3941650390625,1326.6232286366903,1308.5525092706785,1319.6524730579197,6516436,INFY.NS,4
2022-06-10,223.1334991455078,223.83556939019513,221.9771512339188,222.2249438117044,8693455,ITC.NS,4
2022-06-10,1506.47998046875,1515.4137693866812,1491.2261203204673,1492.1289544917463,1337799,LT.NS,4
2022-06-10,1229.33251953125,1263.5957731905057,1223.5577842447772,1255.4432409626409,18093057,RELIANCE.NS,4
2022-06-10,429.0692138671875,431.20595510609974,426.0498895700351,429.2085616259813,8621104,SBIN.NS,4
2022-06-10,2965.382568359375,2994.5960733606303,2958.4102675817367,2984.887686444342,1527582,TCS.NS,4
2022-06-13,646.251708984375,649.289015073459,637.4384703937707,644.2600248890577,6135431,AXISBANK.NS,0
2022-06-13,627.9315185546875,629.5408827433928,619.2694493477306,626.511501525943,10892572,HDFCBANK.NS,0
2022-06-13,2026.78857421875,2045.3322721937498,1989.0556512628436,2000.126461937776,1519441,HINDUNILVR.NS,0
